latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-19.44102,30.57291,318.7,1.07,1.03,2024-07-02,1214,Aqua,MODIS,71,6.1NRT,300.17,11.29,D
-18.98496,32.35754,323.89,1,1,2024-07-02,1214,Aqua,MODIS,79,6.1NRT,297.32,17.83,D
-18.65841,32.06926,309.62,1,1,2024-07-02,1214,Aqua,MODIS,50,6.1NRT,298.3,5.08,D
-18.36756,31.98497,313.24,1,1,2024-07-02,1214,Aqua,MODIS,65,6.1NRT,298.31,5.85,D
-16.22904,29.3777,305.17,1.13,1.06,2024-07-02,2006,Terra,MODIS,63,6.1NRT,288.96,8.38,N
-18.36636,26.47728,312.96,1.03,1.02,2024-07-02,2006,Terra,MODIS,86,6.1NRT,290.39,13.71,N
-18.37024,26.44854,300.25,1.03,1.02,2024-07-02,2006,Terra,MODIS,23,6.1NRT,290.2,4.99,N
-18.6756,30.33527,301.92,1.18,1.08,2024-07-02,2006,Terra,MODIS,45,6.1NRT,285.3,8.96,N
-18.67391,30.3461,305.46,1.19,1.08,2024-07-02,2006,Terra,MODIS,64,6.1NRT,285.02,11.7,N
-21.03495,31.59898,305.39,2.32,1.47,2024-07-03,0659,Terra,MODIS,61,6.1NRT,291.78,18.09,D
-19.77241,32.7991,307.83,4.34,1.92,2024-07-03,1253,Aqua,MODIS,45,6.1NRT,291.56,59.1,D
-16.86124,30.4241,313.61,3.35,1.73,2024-07-03,1255,Aqua,MODIS,57,6.1NRT,299.31,36.49,D
-16.86406,30.41665,311.64,3.35,1.73,2024-07-03,1255,Aqua,MODIS,50,6.1NRT,299.51,28.13,D
-16.91272,29.50872,311.09,2.86,1.61,2024-07-03,1255,Aqua,MODIS,41,6.1NRT,298.57,18.78,D
-16.81395,29.79497,311.53,3.02,1.65,2024-07-03,1255,Aqua,MODIS,51,6.1NRT,299.3,29.95,D
-19.4437,29.72211,314.2,2.62,1.55,2024-07-03,1255,Aqua,MODIS,63,6.1NRT,301.06,30.07,D
-18.13313,31.61518,330.35,3.87,1.83,2024-07-03,1255,Aqua,MODIS,79,6.1NRT,296.61,183.78,D
-18.12547,31.60565,324.74,3.87,1.83,2024-07-03,1255,Aqua,MODIS,74,6.1NRT,297.11,135.55,D
-18.07943,30.64259,318.16,3.28,1.71,2024-07-03,1255,Aqua,MODIS,70,6.1NRT,300.13,58.2,D
-18.10311,30.52456,311.59,3.21,1.7,2024-07-03,1255,Aqua,MODIS,48,6.1NRT,299.22,24.89,D
-18.08138,30.6351,318.29,3.28,1.71,2024-07-03,1255,Aqua,MODIS,69,6.1NRT,300.19,61.56,D
-18.10422,30.51698,311.23,3.21,1.7,2024-07-03,1255,Aqua,MODIS,45,6.1NRT,299.46,24.71,D
-18.3758,26.48202,318.29,1.59,1.24,2024-07-03,1255,Aqua,MODIS,63,6.1NRT,307.65,13.24,D
-17.74749,30.29281,323.31,3.14,1.68,2024-07-03,1255,Aqua,MODIS,76,6.1NRT,300.19,82.51,D
-17.32842,30.54999,314.24,3.35,1.73,2024-07-03,1255,Aqua,MODIS,59,6.1NRT,299.05,42.22,D
-16.77316,31.6172,320.31,4.14,1.88,2024-07-03,1255,Aqua,MODIS,72,6.1NRT,299.08,88.82,D
-16.76037,31.64552,310.74,4.17,1.89,2024-07-03,1255,Aqua,MODIS,36,6.1NRT,298.33,33.62,D
-16.76781,31.60815,321.65,4.14,1.88,2024-07-03,1255,Aqua,MODIS,74,6.1NRT,299.26,105.39,D
-17.03229,30.09331,316.94,3.14,1.68,2024-07-03,1255,Aqua,MODIS,66,6.1NRT,299.72,47.56,D
-17.03436,30.08881,322.9,3.14,1.68,2024-07-03,1255,Aqua,MODIS,71,6.1NRT,299.75,75.48,D
-16.19414,29.36456,316.18,1,1,2024-07-04,0737,Terra,MODIS,68,6.1NRT,302.25,8.17,D
-16.21626,29.38291,315.23,1,1,2024-07-04,0737,Terra,MODIS,68,6.1NRT,301.14,6.76,D
-16.93686,29.65269,311.54,1,1,2024-07-04,0737,Terra,MODIS,27,6.1NRT,297.97,5.51,D
-16.2176,29.39211,313.38,1,1,2024-07-04,0737,Terra,MODIS,64,6.1NRT,301.08,5.56,D
-16.47088,29.4914,310.14,1,1,2024-07-04,0737,Terra,MODIS,57,6.1NRT,299.17,5.45,D
